17:22:40@471/none - i2pd v2.53.1 (0.9.63) starting...
17:23:02@471/warn - Profiling: No profile yet for 1-HPfzBaZmZ6Xde8vKqNtvQwg2Igt~rMRrS~f~MopbM=
17:23:04@196/warn - Transports: 15 ephemeral keys generated at the time
17:23:04@471/warn - Addressbook: Can't open C:\Users\vchar\.i2pd\addressbook\addresses.csv
17:23:04@471/error - Addressbook: Resetting eTags
17:23:04@471/warn - Clients: Can't read C:\Users\vchar\.i2pd\tunnels.conf: C:\Users\vchar\.i2pd\tunnels.conf: cannot open file
17:23:04@471/critical - Clients: Can't open file C:\Users\vchar\.i2pd\ollama-mesh.dat Creating new one with signature type 7 crypto type 0
17:23:05@22/warn - Profiling: No profile yet for C~MSpSYMMXrkYHfAXWAiTxr3kP7ugPaiolyYZvOGZ1I=
17:23:05@642/error - UPnP: Found Internet Gateway Device http://192.168.40.1:49152/44775052/upnp/control/WANIPConn1
17:23:05@942/warn - Profiling: No profile yet for XNIWNYtB17sVS6aAmQYyjGNJ49zbZiOBOIWig7erUjk=
17:23:05@942/warn - Profiling: No profile yet for bpJ9yWApI5XKEpqReiV9SlTfFqQiwFwLmZSLt042Uug=
17:23:05@942/warn - Profiling: No profile yet for pE4-LW6BU85w5GcaHTljKQbIcbfGYHlARVW~bUwx6SE=
17:23:05@22/warn - Profiling: No profile yet for JtHxEJRML5knugldAIKYrKsKdKM8ukX0HdsCKY9mA8Y=
17:23:11@406/warn - Profiling: No profile yet for FNT54E9H74lC~3Zgck-bdzPtsFdKrcF2WobVccN2lmc=
17:23:11@406/warn - Profiling: No profile yet for fMxubtnHXUFg6eZRTco5cwf9GQw0NU2rpGfRUsYUqw0=
17:23:11@406/warn - Profiling: No profile yet for cSexgrwJXk9jJaTXxRHoq6UyciWVR1NtI41vMY1YKSI=
17:23:11@406/warn - Profiling: No profile yet for aIgO1wFbcnJqQzI49mtTFowvPd9C1nYlJuC~4LOe0O4=
17:23:11@406/warn - Profiling: No profile yet for uifkWedwfYlDkncy2gy7WFta9u8o-4igzxc1NKAatIg=
17:23:11@406/warn - Profiling: No profile yet for 7oUdkSGAsHwLWhFd-Vev9NLhzvMWGycAWJFnraR55VE=
17:23:11@406/warn - Profiling: No profile yet for D-mdfiw0b~6nH-PWztdVDKbPLaIqfazgiYyrZeN0jVM=
17:23:11@406/warn - Profiling: No profile yet for x1jYO~iFbg9NU2fAoyb9~yNdENRDL1ITYN5i~az~i50=
17:23:11@406/warn - Profiling: No profile yet for isTssZ1xk9SauBvmjIzJB0D2vgvrCoEP40foMXEe~6k=
17:23:12@373/warn - NTCP2: SessionCreated read error: An existing connection was forcibly closed by the remote host
